adm_area;district;location;number_of_access_points
Центральный административный округ;Тверской район;город Москва, Долгоруковская улица, дом 38, строение 1;2
Центральный административный округ;Тверской район;город Москва, Долгоруковская улица, дом 39/6;2
Южный административный округ;Донской район;город Москва, Донская улица, дом 24;2
Южный административный округ;Донской район;город Москва, Донская улица, дом 28;2
Центральный административный округ;район Якиманка;город Москва, Донская улица, дом 29, строение 2;2
Западный административный округ;район Дорогомилово;город Москва, Большая Дорогомиловская улица, дом 11;3
Западный административный округ;район Дорогомилово;город Москва, Большая Дорогомиловская улица, дом 7;2
Западный административный округ;район Дорогомилово;город Москва, Большая Дорогомиловская улица, дом 8А;2
Центральный административный округ;Тверской район;город Москва, улица Достоевского, дом 1/21, строение 1;2
Центральный административный округ;Тверской район;город Москва, улица Достоевского, дом 3;2
Центральный административный округ;район Замоскворечье;город Москва, Дубининская улица, дом 43;2
Центральный административный округ;Басманный район;город Москва, Елоховский проезд, дом 1;3
Центральный административный округ;Красносельский район;город Москва, Живарев переулок, дом 8, строение 1;1
Центральный административный округ;район Якиманка;город Москва, Житная улица, дом 10;2
Центральный административный округ;район Хамовники;город Москва, 1-й Зачатьевский переулок, дом 15;3
Центральный административный округ;Мещанский район;город Москва, Звонарский переулок, дом 7, строение 2;2
Центральный административный округ;Басманный район;город Москва, улица Земляной Вал, дом 1/4, строение 1;1
Центральный административный округ;Басманный район;город Москва, улица Земляной Вал, дом 24/30, строение 1;2
Центральный административный округ;Басманный район;город Москва, улица Земляной Вал, дом 39/1, строение 1;2
Центральный административный округ;Таганский район;город Москва, улица Земляной Вал, дом 41, строение 1;4
Центральный административный округ;Таганский район;город Москва, улица Земляной Вал, дом 42/20;2
Центральный административный округ;Таганский район;город Москва, улица Земляной Вал, дом 46;2
Центральный административный округ;Таганский район;город Москва, улица Земляной Вал, дом 48А;2
Центральный административный округ;Таганский район;город Москва, улица Земляной Вал, дом 52/16, строение 3;2
Центральный административный округ;Таганский район;город Москва, улица Земляной Вал, дом 54, строение 1;2
Центральный административный округ;Таганский район;город Москва, улица Земляной Вал, дом 58;2
Центральный административный округ;район Хамовники;город Москва, улица Знаменка, дом 3;2
Центральный административный округ;район Хамовники;город Москва, улица Знаменка, дом 7, строение 2;2
Юго-Восточный административный округ;район Лефортово;город Москва, улица Золоторожский Вал, дом 32, строение 38;1
Центральный административный округ;Таганский район;город Москва, улица Золоторожский Вал, дом 38, строение 1;2
Центральный административный округ;район Хамовники;город Москва, Зубовская улица, дом 2;3
Центральный административный округ;район Хамовники;город Москва, Зубовская улица, дом 5/36;4
Центральный административный округ;Басманный район;город Москва, Волховский переулок, владение 27, сооружение 1;2
Центральный административный округ;район Хамовники;город Москва, улица Волхонка, дом 10;3
Центральный административный округ;район Хамовники;город Москва, улица Волхонка, дом 13;3
Центральный административный округ;район Хамовники;город Москва, улица Волхонка, дом 15;10
Центральный административный округ;Таганский район;город Москва, улица Воронцово Поле, дом 18;2
Центральный административный округ;Тверской район;город Москва, Воротниковский переулок, дом 5/9;3
Центральный административный округ;Тверской район;город Москва, Воротниковский переулок, дом 8, строение 1;1
Южный административный округ;Даниловский район;город Москва, Восточная улица, дом 15/6;2
Центральный административный округ;район Хамовники;город Москва, 1-й Вражский переулок, дом 4;2
Центральный административный округ;район Хамовники;город Москва, Всеволожский переулок, дом 2, строение 2;2
Центральный административный округ;Пресненский район;город Москва, Вспольный переулок, дом 10;2
Центральный административный округ;район Хамовники;город Москва, Гагаринский переулок, дом 23, строение 1;2
Центральный административный округ;район Хамовники;город Москва, Гагаринский переулок, дом 27;1
Центральный административный округ;Пресненский район;город Москва, улица Гашека, дом 9;2
Центральный административный округ;Тверской район;город Москва, Глинищевский переулок, дом 5/7;2
Центральный административный округ;Тверской район;город Москва, Большой Гнездниковский переулок, дом 10;2
Центральный административный округ;Тверской район;город Москва, Малый Гнездниковский переулок, дом 9, строение 7;2
Центральный административный округ;район Арбат;город Москва, улица Знаменка, дом 19, строение 8;2
Центральный административный округ;район Арбат;город Москва, Гоголевский бульвар, дом 21, строение 1;3
Центральный административный округ;район Арбат;город Москва, Гоголевский бульвар, дом 33/1;3
Центральный административный округ;район Хамовники;город Москва, Гоголевский бульвар, дом 8/9, строение 1;2
Центральный административный округ;Красносельский район;город Москва, Малый Головин переулок, дом 10, строение 1;2
Центральный административный округ;Таганский район;город Москва, Гончарная набережная, дом 3, строение 1;2
Центральный административный округ;Таганский район;город Москва, Гончарная набережная, дом 3, строение 3;2
Центральный административный округ;Таганский район;город Москва, Гончарная набережная, дом 9/16, строение 1;2
Центральный административный округ;Таганский район;город Москва, Гончарная улица, дом 38;2
Центральный административный округ;Таганский район;город Москва, Гончарный проезд, дом 6, строение 1А;2
Центральный административный округ;Пресненский район;город Москва, Гранатный переулок, дом 7, строение 1;2
Центральный административный округ;Мещанский район;город Москва, Большая Сухаревская площадь, дом 3, строение 22;2
Центральный административный округ;Красносельский район;город Москва, Грохольский переулок, дом 32, строение 2;2
Центральный административный округ;Мещанский район;город Москва, Грохольский переулок, дом 5, строение 1;3
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 1, строение 10;2
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 1, строение 103;2
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 1, строение 2;3
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 13, строение 1;2
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 2/12, строение 1;1
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 30;2
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 39;2
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 52;2
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 56;2
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 58;2
Центральный административный округ;Пресненский район;город Москва, Большая Грузинская улица, дом 62;2
Центральный административный округ;Пресненский район;город Москва, улица Грузинский Вал, дом 18/15;1
Центральный административный округ;Тверской район;город Москва, улица Грузинский Вал, дом 23-25, строение 2;1
Центральный административный округ;Пресненский район;город Москва, улица Грузинский Вал, дом 28/45;2
Центральный административный округ;Пресненский район;город Москва, Грузинский переулок, дом 10;1
Центральный административный округ;Пресненский район;город Москва, Грузинский переулок, дом 16;1
Центральный административный округ;Пресненский район;город Москва, Грузинский переулок, дом 4;2
Центральный административный округ;район Хамовники;город Москва, Зубовский бульвар, дом 29;2
Центральный административный округ;район Хамовники;город Москва, Зубовский бульвар, дом 5, строение 2;3
Центральный административный округ;Басманный район;город Москва, Малый Ивановский переулок, дом 2, строение 33;2
Центральный административный округ;Басманный район;город Москва, Малый Ивановский переулок, дом 2А, строение 1;2
Центральный административный округ;Тверской район;город Москва, улица Ильинка, дом 4;9
Центральный административный округ;Басманный район;город Москва, Казарменный переулок, дом 4, строение 2;2
Центральный административный округ;Басманный район;город Москва, Большой Казённый переулок, дом 1/2, строение 1;2
Центральный административный округ;Басманный район;город Москва, Большой Казённый переулок, дом 9;2
Центральный административный округ;Басманный район;город Москва, Малый Казённый переулок, дом 2/1, строение 2;2
Центральный административный округ;район Арбат;город Москва, Малый Каковинский переулок, дом 1/8, строение 2;3
Центральный административный округ;район Арбат;город Москва, переулок Каменная Слобода, дом 6/2, строение 2;2
Центральный административный округ;Таганский район;город Москва, улица Большие Каменщики, дом 17;2
Центральный административный округ;Тверской район;город Москва, Камергерский переулок, дом 4, строение 1;2
Центральный административный округ;Тверской район;город Москва, Большой Каретный переулок, дом 20, строение 1;2
Центральный административный округ;Тверской район;город Москва, Малый Каретный переулок, дом 5;2
Центральный административный округ;Тверской район;город Москва, улица Каретный Ряд, дом 3, строение 1;2
Центральный административный округ;Тверской район;город Москва, улица Каретный Ряд, дом 3, строение 15А;2
Центральный административный округ;Тверской район;город Москва, улица Каретный Ряд, дом 3, строение 17;1
Центральный административный округ;Тверской район;город Москва, улица Каретный Ряд, дом 3, строение 3;4
Центральный административный округ;Тверской район;город Москва, улица Каретный Ряд, дом 5/10, строение 2;2
Центральный административный округ;Тверской район;город Москва, Средний Каретный переулок, дом 4;2
Центральный административный округ;район Арбат;город Москва, Карманицкий переулок, дом 5;2
Западный административный округ;район Дорогомилово;город Москва, Киевская улица, дом 18;2
Западный административный округ;район Дорогомилово;город Москва, Киевская улица, дом 20;2
Западный административный округ;район Дорогомилово;город Москва, Киевская улица, дом 25;1
Центральный административный округ;Мещанский район;город Москва, Малый Кисельный переулок, дом 1/9;2
Центральный административный округ;район Арбат;город Москва, Большой Кисловский переулок, дом 4, строение 2;3
Центральный административный округ;Пресненский район;город Москва, Малый Кисловский переулок, дом 9, строение 1;2
Центральный административный округ;Пресненский район;город Москва, Большой Козихинский переулок, дом 6;2
Центральный административный округ;Пресненский район;город Москва, Большой Козихинский переулок, дом 7;4
Центральный административный округ;Пресненский район;город Москва, Малый Козихинский переулок, дом 12;2
Центральный административный округ;Пресненский район;город Москва, Малый Козихинский переулок, дом 4;2
Центральный административный округ;Басманный район;город Москва, Малый Козловский переулок, дом 3;2
Центральный административный округ;Тверской район;город Москва, 1-й Колобовский переулок, дом 11;1
Центральный административный округ;Тверской район;город Москва, 1-й Колобовский переулок, дом 13/14, строение 3;2
Центральный административный округ;Тверской район;город Москва, 1-й Колобовский переулок, дом 18;2
Центральный административный округ;Тверской район;город Москва, 1-й Колобовский переулок, дом 7/10;2
Центральный административный округ;Тверской район;город Москва, 2-й Колобовский переулок, дом 12;2
Центральный административный округ;Мещанский район;город Москва, Колокольников переулок, дом 17;2
Центральный административный округ;Мещанский район;город Москва, Колокольников переулок, дом 6, строение 1;2
Центральный административный округ;Красносельский район;город Москва, Комсомольская площадь, дом 6;1
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 14/1, корпус 1;2
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 18, строение 1;2
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 33/11;2
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 38/16;4
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 40;3
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 41;1
Центральный административный округ;район Хамовники;город Москва, Комсомольский проспект, дом 44;2
Центральный административный округ;район Замоскворечье;город Москва, Космодамианская набережная, дом 22, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Космодамианская набережная, дом 26;2
Центральный административный округ;район Замоскворечье;город Москва, Космодамианская набережная, дом 28, строение 8;2
Центральный административный округ;район Замоскворечье;город Москва, Космодамианская набережная, дом 36;2
Центральный административный округ;район Замоскворечье;город Москва, Космодамианская набережная, дом 4/22, корпус А;4
Центральный административный округ;район Замоскворечье;город Москва, Космодамианская набережная, дом 40-42, строение 3;3
Центральный административный округ;район Замоскворечье;город Москва, Космодамианская набережная, дом 46-50, строение 1;3
Центральный административный округ;Красносельский район;город Москва, Костянский переулок, дом 10А;3
Центральный административный округ;Красносельский район;город Москва, Костянский переулок, дом 11, строение 1;1
Центральный административный округ;Красносельский район;город Москва, Костянский переулок, дом 9/10;3
Центральный административный округ;Таганский район;город Москва, Котельническая набережная, дом 1/15, корпус А;3
Центральный административный округ;Пресненский район;город Москва, улица Красина, дом 13;2
Центральный административный округ;Пресненский район;город Москва, улица Красина, дом 24-28;2
Центральный административный округ;Пресненский район;город Москва, улица Красина, дом 27, строение 1;4
Центральный административный округ;Пресненский район;город Москва, улица Красная Пресня, дом 38;2
Центральный административный округ;Пресненский район;город Москва, улица Красная Пресня, дом 8;4
Центральный административный округ;Пресненский район;город Москва, 1-й Красногвардейский проезд, дом 18/1, корпус 3;2
Центральный административный округ;Пресненский район;город Москва, 1-й Красногвардейский проезд, дом 20;2
Центральный административный округ;Пресненский район;город Москва, 1-й Красногвардейский проезд, дом 6;2
Центральный административный округ;Пресненский район;город Москва, 1-й Красногвардейский проезд, дом 8;1
Центральный административный округ;Пресненский район;город Москва, 2-й Красногвардейский проезд, дом 2;1
Центральный административный округ;Пресненский район;город Москва, Красногвардейский бульвар, дом 11/1;2
Центральный административный округ;Пресненский район;город Москва, Красногвардейский бульвар, дом 15, строение 1;2
Центральный административный округ;Пресненский район;город Москва, Красногвардейский бульвар, дом 9;2
Центральный административный округ;Красносельский район;город Москва, Краснопрудная улица, дом 1;3
Центральный административный округ;Красносельский район;город Москва, Краснопрудная улица, дом 11;3
Центральный административный округ;Красносельский район;город Москва, Краснопрудная улица, дом 13А;2
Центральный административный округ;Красносельский район;город Москва, Краснопрудная улица, дом 3/5, строение 1;2
Центральный административный округ;Красносельский район;город Москва, Краснопрудная улица, дом 36, строение 1;3
Центральный административный округ;Красносельский район;город Москва, Краснопрудная улица, дом 7/9;2
Центральный административный округ;Красносельский район;город Москва, Верхняя Красносельская улица, дом 34;3
Центральный административный округ;Басманный район;город Москва, Нижняя Красносельская улица, дом 45/17;3
Центральный административный округ;Тверской район;город Москва, Кремлёвская набережная, дом 1/9, строение 9;7
Центральный административный округ;Тверской район;город Москва, Кремлёвская набережная, дом 1, строение 2;2
Центральный административный округ;район Арбат;город Москва, Крестовоздвиженский переулок, дом 2, строение 2;2
Центральный административный округ;Таганский район;город Москва, площадь Крестьянская Застава, дом 1;1
Центральный административный округ;Таганский район;город Москва, Крестьянская площадь, дом 10, строение 28;2
Центральный административный округ;район Арбат;город Москва, Кривоарбатский переулок, дом 3;2
Центральный административный округ;Басманный район;город Москва, Кривоколенный переулок, дом 11/13, строение 1;1
Центральный административный округ;Басманный район;город Москва, Кривоколенный переулок, дом 12, строение 10;3
Центральный административный округ;Басманный район;город Москва, Кривоколенный переулок, дом 14, строение 1;2
Центральный административный округ;Басманный район;город Москва, Кривоколенный переулок, дом 4, строение 3;2
Центральный административный округ;Басманный район;город Москва, Кривоколенный переулок, дом 5, строение 4;2
Центральный административный округ;район Хамовники;город Москва, Кропоткинский переулок, дом 20, строение 1;3
Центральный административный округ;Таганский район;город Москва, 3-й Крутицкий переулок, владение 16;2
Юго-Восточный административный округ;Южнопортовый район;город Москва, 3-й Крутицкий переулок, дом 11;4
Центральный административный округ;Таганский район;город Москва, 3-й Крутицкий переулок, дом 18;1
Центральный административный округ;район Якиманка;город Москва, улица Крымский Вал, дом 10;9
Центральный административный округ;район Якиманка;город Москва, улица Крымский Вал, дом 10, строение 5;3
Центральный административный округ;район Якиманка;город Москва, улица Крымский Вал, дом 4;2
Центральный административный округ;район Якиманка;город Москва, улица Крымский Вал, дом 8;3
Центральный административный округ;район Якиманка;город Москва, улица Крымский Вал, дом 8, корпус 2;2
Центральный административный округ;район Якиманка;город Москва, улица Крымский Вал, дом 9, строение 2;2
Центральный административный округ;район Якиманка;город Москва, улица Крымский Вал, дом 9, строение 45;5
Центральный административный округ;район Якиманка;город Москва, улица Крымский Вал, дом 9, строение 57;2
Центральный административный округ;район Якиманка;город Москва, улица Крымский Вал, дом 9, строение 9;1
Центральный административный округ;район Хамовники;город Москва, улица Остоженка, дом 53/2, строение 1;2
Центральный административный округ;район Арбат;город Москва, Кудринская площадь, дом 46/54, строение 1;3
Центральный административный округ;Мещанский район;город Москва, улица Кузнецкий Мост, дом 19, строение 1;2
Центральный административный округ;Мещанский район;город Москва, улица Кузнецкий Мост, дом 22, строение 2;1
Центральный административный округ;Мещанский район;город Москва, улица Кузнецкий Мост, дом 9/10, строение 1;2
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 1/7;2
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 14;2
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 15;2
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 17;3
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 18;2
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 19;2
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 21;2
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 24;2
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 26, корпус 1;2
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 26, корпус 2;2
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 27;2
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 30;5
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 30, сооружение 1;2
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 31;4
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 35;3
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 4/2;4
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проезд, дом 5;2
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 5/3;4
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 7/4, корпус 1;2
Западный административный округ;район Дорогомилово;город Москва, Кутузовский проспект, дом 8;2
Центральный административный округ;Красносельский район;город Москва, Даев переулок, дом 2;2
Центральный административный округ;Басманный район;город Москва, Девяткин переулок, дом 4;1
Центральный административный округ;Тверской район;город Москва, Дегтярный переулок, дом 10, строение 2;2
Центральный административный округ;Тверской район;город Москва, Дегтярный переулок, дом 5, строение 1;2
Центральный административный округ;Тверской район;город Москва, Делегатская улица, дом 3, строение 2;2
Центральный административный округ;Басманный район;город Москва, улица Казакова, дом 15, строение 3;4
Центральный административный округ;район Арбат;город Москва, Денежный переулок, дом 11, строение 1;3
Центральный административный округ;Тверской район;город Москва, улица Большая Дмитровка, дом 1;4
Центральный административный округ;Тверской район;город Москва, улица Большая Дмитровка, дом 16, корпус 1;2
Центральный административный округ;Тверской район;город Москва, улица Большая Дмитровка, дом 17;2
Центральный административный округ;Тверской район;город Москва, улица Большая Дмитровка, дом 7/5, строение 5;2
Центральный административный округ;Тверской район;город Москва, улица Большая Дмитровка, дом 8, строение 5;2
Центральный административный округ;Тверской район;город Москва, улица Малая Дмитровка, дом 16, строение 4;2
Центральный административный округ;Тверской район;город Москва, улица Малая Дмитровка, дом 8, строение 1;2
Центральный административный округ;Тверской район;город Москва, Дмитровский переулок, дом 2, строение 1;2
Центральный административный округ;район Хамовники;город Москва, улица Доватора, дом 12;3
Западный административный округ;район Дорогомилово;город Москва, Большая Дорогомиловская улица, дом 1;2
Западный административный округ;район Дорогомилово;город Москва, Большая Дорогомиловская улица, дом 10;4
Центральный административный округ;Пресненский район;город Москва, Большая Дорогомиловская улица, дом 16;1
Западный административный округ;район Дорогомилово;город Москва, Большая Дорогомиловская улица, дом 5;3
Западный административный округ;район Дорогомилово;город Москва, Большая Дорогомиловская улица, дом 6;2
Западный административный округ;район Дорогомилово;город Москва, Большая Дорогомиловская улица, дом 8;1
Северо-Восточный административный округ;район Марьина Роща;город Москва, улица Достоевского, дом 31, корпус 7;2
Центральный административный округ;Басманный район;город Москва, Дубининская улица, дом 11, строение 1;1
Центральный административный округ;район Замоскворечье;город Москва, Дубининская улица, дом 11, строение 2;2
Центральный административный округ;район Замоскворечье;город Москва, Дубининская улица, дом 2;2
Центральный административный округ;район Замоскворечье;город Москва, Дубининская улица, дом 20, строение 1;2
Центральный административный округ;район Замоскворечье;город Москва, Дубининская улица, дом 7;2
Центральный административный округ;Таганский район;город Москва, 1-я Дубровская улица, дом 1, строение 1;1
Центральный административный округ;Мещанский район;город Москва, улица Дурова, дом 5, строение 1;2
Центральный административный округ;Пресненский район;город Москва, Ермолаевский переулок, дом 10/7;2
Центральный административный округ;Пресненский район;город Москва, Ермолаевский переулок, дом 18А;2
