name;old_price;new_price
Плита Indesit KN 1M117;14302;10726
Массажер для тела Medisana ITM;3837;2685
Варочная поверхность Zigmund&Shtain MN 115.91;20934;30144
Винный шкаф IP Industrie C 501;282590;237375
Фен Remington CI 5319;2079;2661
Вытяжка Falmec Platinum 97/800;98821;88938
Водонагреватель Mora Vega [Vega 16];23562;12723
Холодильник Biryusa 118;12989;14677
Йогуртница Maxwell MW-1443;3850;3272
Духовой шкаф Hansa BOEI69422;18799;10527
Кулер для воды Ecotronic C21-LFPM;16830;18681
Холодильник Kraft BR-50;8695;5303
Весы Scarlett SC-1215;979;548
Вытяжка Korting KHT 6230;4275;6369
Холодильник Candy CKBN 6180;22070;28911
Вытяжка Zigmund&Shtain K 129.51;5982;4725
Вытяжка Krona Ella 600;19844;16470
Кухонная мойка Reginox L18 4035;8217;6737
Плита Gorenje GI 5322 XF;38489;48881
Встраиваемый холодильник Bosch KIN 86VF20;47597;65207
Фен Sinbo SHD-2696;836;936
Кухонная мойка Frap F5050;2323;2857
Электрочайник Kromax KR-312;594;819
Фен Remington D 5219 Your Style;2904;2352
Посудомоечная машина Kaiser S 4586 XL;45223;62407
Посудомоечная машина Bosch SPS 58M18;36938;19577
Электрочайник Scarlett SC-ET10D13;3686;4754
Микроволновая печь Caso M20 Easy;7698;11393
Холодильник LG GA-B429SQCZ;34811;52216
Миксер Kelli KL-5053;1100;1265
Вытяжка Schaub Lorenz SLD WB6500;5489;2854
Водонагреватель Atlantic Steatite Cube S4CM [Steatite Cube 150 S4CM];23870;13128
Пылесос Dyson V7 Absolute;30690;17186
Электрочайник Ladomir 115;1056;1478
Морозильная камера Gorenje FH 400;24436;13684
Вытяжка Krona Kamilla Slim 2M 600 3P;6370;4395
Стиральная машина Zanussi ZWS G7101;16390;22782
Духовой шкаф Zanussi ZOB-535712;24113;29900
Весы SOEHNLE 63308 Solar Sense;3947;5210
Весы SOEHNLE 66160 Flip;1729;1538
Весы Smile KSE 3265;575;304
Пароочиститель Karcher SC 5 Iron Kit;25527;12763
Вытяжка Centek CT-1820 60;3789;2311
Пылесос Supra VCS-1615;1970;1773
Гладильная доска Brabantia 510342;13189;11474
Встраиваемая посудомоечная машина Siemens SR 64E006;22517;28146
Холодильник DON R 291;15116;12697
Электродуховка TRISTAR OV 1435;4349;5088
Встраиваемая посудомоечная машина Beko DIS 5831;20449;12269
Вытяжка Kaiser A-9315;28809;38604
Плита De Luxe 506004.00;11808;14169
Швейная машина, оверлок Elna 3005;20889;15040
Швейная машина, оверлок Toyota JB 01;7920;9108
Фен Aresa AR-3202;658;723
Духовой шкаф Midea MO 47000;18304;13911
Весы Redmond RS-715;1859;1022
Электрочайник Centek CT-0042;1089;1372
Плита Beko FSM 62320;18441;14937
Миксер RawMid BDL-09;24090;30112
Холодильник Samsung RB33J3420EF;41789;37610
Морозильная камера Liebherr GTE 3002;41783;57660
Вытяжка Shindo Avior Sensor 600;16353;18805
Стиральная машина Leran WMXS 10632 WD2;20240;23073
Вытяжка Krona Jessica Slim 600 Push Button;3208;3849
Вытяжка Siemens LF 98BC542;41679;56266
Кухонный комбайн KitchenAid 5KSM7580;67036;79772
Стиральная машина Whirlpool TDLR 65210;25740;28314
Весы Delta KCE-41;521;422
Фен BBK BST1025;539;625
Водонагреватель Garanterm MGR [MGR 30];6050;4235
Вытяжка LG DCE9601SU;10890;12196
Миксер Clatronic MZ 3579;1314;1905
Холодильник Bosch KGS39XL20;43550;29613
Холодильник General Electric RCE 24 KGBF;189750;248572
Кухонная мойка Elleci W-Square 340;9867;12037
Вытяжка Akpo Zefir ECO 90;18370;9552
Термометр / барометр Mikhail Moskvin 05.8AB;6022;7045
Встраиваемая посудомоечная машина Electrolux ESL 97540;84469;60817
Электрочайник Kelli KL-1313;1329;717
Электродуховка Simfer M4297;10329;5990
Кухонная мойка AquaGranitEx M-09K;6930;9563
Кухонная мойка Dr. Gans Nika 580;5350;3530
Пылесос Scarlett SC-VC80B01;3045;1887
Весы Home-Element HE-SC907;459;518
Плита Zanussi ZCV965201;33225;20931
Вытяжка Bosch DWA 09D651;39259;34940
Утюг Zimber 11046;572;789
Машинка для стрижки волос Mikma 403;327;428
Кухонная мойка RODI Box Line 34;17732;12057
Водонагреватель Thermex Ultra Slim [IU-40 V];9955;8561
Вытяжка Whirlpool AKR 759;25126;20100
Холодильник Bosch KGE39AI2O;40687;45976
Плита Bosch HGA 23W125R;32659;22208
Вытяжка Falmec Iris Piastrelata 120/600;54208;43366
Встраиваемый холодильник Liebherr IK 1620;39820;33050
Фен BaByliss ST395E;6589;9554
Фен CoifIn NE1-ion;2962;3643
Швейная машина, оверлок AstraLux H30A;16709;19215
Вытяжка Krona Inga 600 Push Button;13207;14923
Машинка для стрижки волос LUMME LU-2506;633;500
Фен Centek CT-2020;1084;747
Весы Caso L10;2684;3757
Вытяжка MBS Pilea 160;5390;7060
Кухонная мойка Blanco Subline 375-U;39512;24497
Стиральная машина Gorenje W 65FZ03;19360;27297
Вытяжка MAUNFELD TRENT GLASS 60;11431;15317
Микроволновая печь Supra MWS-1806MW;3547;1986
Духовой шкаф Hotpoint-Ariston FA2 841 JH;20229;25488
Швейная машина, оверлок Brother SL-10;5885;5178
Стиральная машина Siemens WS 12M441;58179;80287
Весы Kromax KS-522;757;590
Весы MAGNIT RMX-6182;537;413
Кухонная мойка Blanco Andano XL 6S-IF Compact;37400;56100
Водонагреватель Superlux NTS PL [NTS 10 R PL];4261;5070
Пылесос KITFORT KT-517;7029;5904
Духовой шкаф Siemens HB 78G4581;93405;116756
Водонагреватель Oasis Turbo [24 TUR];9680;11519
Электрочайник JARKOFF JK-202;506;662
Тостер Scarlett SC-TM11036;1172;1605
Плита Gefest 3200-05;11792;5896
Пылесос Miele S 8310;18829;27866
Водонагреватель Thermex Hit [H-10 O];4134;4671
Вытяжка Kaiser A-9414;19879;16499
Кухонная мойка Whinstone Mungo 760;9768;7130
Вытяжка Falmec Iris Malizia 60/600;39847;31080
Микроволновая печь Midea AW 925 EHU;9281;5104
Кофеварка Caso Coffee One;6237;8731
Весы Redmond RS-M737;880;1038
Фен Delta DL-0442;809;728
Кухонная мойка Ulgran U-202;4862;6952
Пылесос Hotpoint-Ariston SL M07 A3E;9117;10211
Пылесос KITFORT KT-515;5258;5941
Вытяжка MAUNFELD CLYDE C 60;7951;5327
Стиральная машина Daewoo DWD-CV701PC;21781;30711
Электродуховка AVEX TR350BCL;5761;4147
Плита Gorenje K 6121;24288;12872
Кулер для воды Aqua Work 712-S-W;10505;7143
Весы Unit UBS-2153;891;766
Маникюрный набор Smile MPS 3400;748;508
Плита Bosch HCA 644150R;38967;22990
Фильтр для воды ITAP 192 4;9299;12553
Плита Gefest 5140;9949;13928
Мясорубка Apach ATI22UT;53108;46203
Кухонная мойка Alveus Line 10;47569;57558
Микроволновая печь Sharp R 2495ST;6941;9439
Весы Mayer & Boch MB 10954;829;1036
Вытяжка Shindo Ganimed 900;12100;16819
Маникюрный набор GEZAtone 126D;1636;1243
Пылесос Daewoo RGJ-220;2165;1667
Вибротренажер Clear Fit CF-PLATE Force 501;133089;191648
Водонагреватель Zanussi Premiero [ZWH/S-80 Premiero];6809;8783
Духовой шкаф Hotpoint-Ariston FH G;24981;31725
Плита De Luxe 5040.30;12287;11058
Швейная машина, оверлок Jaguar 780;6710;8924
Вытяжка Elica Coraline A/90 Noce;22673;30835
Холодильник Shivaki BMR 1881 DNF;21499;13759
Вытяжка Falmec Diamante 90/800;61040;50663
Вытяжка Falmec Torcello 65/800 Isola;132932;114321
Электрочайник Unit UEK-258;1965;2358
Вытяжка Lex Simple 500;2984;1969
Вытяжка Shindo Emi 60;2079;2702
Швейная машина, оверлок AstraLux SR38;9900;8316
Кухонная мойка GranFest Practic GF-P420;4290;3131
Вытяжка Faber Lithos A 45;30723;24271
Весы Medisana PS 72;1419;993
Кухонная мойка Alveus Trend 40;10076;13501
Вытяжка Bosch DWB 098J50;54987;64884
Варочная поверхность Lex EVH 430;7964;5176
Вытяжка Elikor Graphite 60;14729;9868
Вытяжка De'Longhi KD-LN 60;6490;9150
Уборочная машина Ghibli ROLLY 7 1/2 M 33 BC 10 Ah;138490;72014
Стиральная машина Siemens WM 12N290;36479;28453
Вытяжка Smeg KTS75C;84493;118290
Утюг Vitesse VS-6007;1551;2124
Плита Kromax IP-46;1868;952
Кухонный комбайн Gorenje MMC 1500;20394;27939
Швейная машина, оверлок Brother RS-45S;8140;4721
Кухонная мойка Mixline ML-GM11;3402;1701
Соковыжималка Eltron EL-3852;3444;4683
Кухонная мойка Blanco Zenar XL 6S;27151;23892
Варочная поверхность Neff T 18TS28N0;55991;75587
Посудомоечная машина Indesit DSG 263;22759;17524
Вытяжка Korting KHI 6673;8791;12746
Весы Medisana BS 430;5223;7468
Вытяжка MAUNFELD BOX 60;10637;15530
Микроволновая печь Candy CMXG 20 DR;5538;7310
Стиральная машина Candy GVS34 116 D2;14888;10272
Варочная поверхность Neff T 16TS78N0;41789;58922
Холодильник Liebherr K 2814;35035;49399
Винный шкаф Climadiff CLA210A;154000;180180
Кухонная мойка Eurodomo BLX-720;4290;3646
Пароочиститель Kromax Rimmini-7100;5102;4591
Вытяжка Bosch DWK 97JM20;42869;60873
Вытяжка Falmec Ellittica 70/800 Isola;120835;93042
Фен Supra HSS-1220;647;478
Фен Irit IR-3162;308;231
Кухонная мойка Franke Argos AGX 211-86;35662;29956
Фен Philips HPS 910;4719;3067
Вытяжка Faber Cubia A 60;46125;68726
Варочная поверхность Indesit PIM 640 AS;16201;20089
Варочная поверхность RICCI RGN-KA-4009;7106;9593
Утюг Philips GC 2980;3133;3634
Кухонная мойка Zorg SH-X-6050;11583;16911
Водонагреватель Hotpoint-Ariston ABS PRO ECO PW Slim [ABS PRO ECO PW 30V Slim];7964;5335
Холодильник Electrolux ERF 4162;73689;44950
Фен PARLUX 3800;11423;14278
Пылесос Bort BSS-1440-Pro;7812;5312
Весы Scarlett SC-BS33ED85;1172;668
Плита Hansa FCMW53000;10890;12850
Вытяжка Faber Glassy A 90;25410;33033
Хлебопечка Midea EHS20Q3;3512;2072
Пылесос Cleanfix S 20;25289;13150
Плита Gorenje GI 532 IN;34904;19546
Вытяжка MAUNFELD LEE ISLA 40;40693;55342
Тостер OLTO WA-2017;2198;2857
Вытяжка NODOR Icon;75174;42849
Вытяжка Elica Cube A/60;16500;11054
Водонагреватель Timberk WHN [WHN-5 OS];6226;9027
Стиральная машина AEG L 59869;85789;107236
Встраиваемый винный шкаф Dunavox DX-181.490DBK;206679;124007
Холодильник Smeg SMEG500;645139;399986
Вытяжка Jet Air Shine 55;18887;24175
Духовой шкаф Gorenje BCM 547 INB;67089;87886
Вытяжка MAUNFELD VENERA 70;38021;19010
Весы Beurer KS52;2310;3234
Холодильник POZIS RD-149;25839;16020
Микроволновая печь Gorenje MO-200 MS;4609;2719
Вытяжка Faber Life A 80;141487;82062
Весы LUMME LU-1326;220;299
Маникюрный набор Supra MPS-110;1197;957
Духовой шкаф Asko OT 8636;49391;36549
Вытяжка Midea MH 60AN780;15070;18536
Вытяжка Neff D 76S21 N0;52349;65436
Микроволновая печь MAUNFELD MFSMO.20.7 SGW;7253;6165
Плита Mechta 221-01GE;5610;7853
Мультиварка LUMME LU-1450;2519;1939
Швейная машина, оверлок Jaguar 145;6270;4138
Вытяжка Beltratto CPG 120I;30767;36612
Утюг Bosch TDA 5024;4169;5669
Весы Leran EK 9610K;649;778
Винный шкаф La Sommeliere LS28;41580;34511
Вытяжка Teka DG3 60;18800;14664
Микроволновая печь Saturn ST-MW7158G;5692;8481
Холодильник Beko DS 325000;18910;16073
Варочная поверхность Leran GH 64521;13739;9754
Водонагреватель Zanussi Premiero [ZWH/S-80 Premiero];6809;9328
Микроволновая печь Shivaki SMW2007EW;4697;6293
Духовой шкаф Nardi FEX 9758;24792;13387
Пароочиститель Polti Vaporetto SV330 Multibrush;10519;8625
Массажер для тела HoMedics YMM-1500-EU;27489;31062
Массажер для тела Sanitas SMG 11;660;877
Пылесос Miele Complete C3;15830;8389
Швейная машина, оверлок Toyota Oekaki 50;32890;25325
Вытяжка Smeg KCL900PO;85019;127528
Вытяжка Elikor Onyx 60;13414;9255
Стиральная машина Hitachi BD-W75SAE;43989;63784
Электрочайник Polaris PWK 1843CA;1426;884
Духовой шкаф Smeg SF341GV;59125;88096
Вытяжка Krona Kirsa 500 Push Button;14949;12557
Вытяжка Elikor Amethyst 50;7678;6603
Электрочайник Panasonic NC-EG3000;6347;4696
Швейная машина, оверлок BERNINA Aurora 440;57750;80850
Весы Supra BSS-4077;422;219
Варочная поверхность Weissgauff HV 6540;10989;8461
Холодильник Liebherr CU 3311;31946;23640
Утюг Termozeta Super Compact;14685;21146
Пылесос Arnica Merlin;3223;4028
Пылесос LG V-K89304HUM;9265;11303
Варочная поверхность Zigmund&Shtain CNS 302.30;15072;12057
Швейная машина, оверлок Juki HZL-357;16775;21639
Микроволновая печь Centek CT-1580;3619;5030
Вытяжка Teka NC2 90;18822;16186
Пылесос Makita BCL140Z;1833;2749
Электрочайник Zimber ZM-10861;686;397
Пароочиститель VAX S86-SF-C-R;13739;7556
Вытяжка Teka TL 6420;9394;13621
Стиральная машина Hansa AWB510DR;16830;9088
Тостер Saturn ST EC7023;1857;947
Водонагреватель Viessmann Vitocell 300-V EVI [Vitocell 300-V EVI 200];190157;228188
Фен Polaris PHD 1315T;803;505
Стиральная машина Indesit IWDC 7105;34442;18254
Водонагреватель Hotpoint-Ariston TI STI [TI 500 STI];115929;100858
Холодильник Hotpoint-Ariston HFP 5180;27489;30787
Встраиваемая микроволновая печь Hansa AMM20BEXH;13405;11528
Водонагреватель Bosch Tronic 8000 [ES 035-5E 0 WIR-B];9636;5685
Кофеварка Ariete 1329;15609;21696
Массажное кресло US Medica Indigo;132000;95040
Вытяжка Krona Natali 600 3P-S;16551;9434
Холодильник Liebherr CNP 4758;87989;120544
Стиральная машина LG F14A8TDS;36619;28196
Весы Atlanta ATH-6212;603;470
Посудомоечная машина Candy CDCP 8/E;13657;17890
Духовой шкаф Bosch HBG 33UE50;54437;63146
Вытяжка Kaiser A-9412;18826;13366
Весы Sanitas SBF70;4400;2200
Весы Aksion BHE-32;801;528
Винный шкаф Gemlux GL-WC-28C;32560;16605
Массажер для тела Medisana HP 620;3828;2564
Фен Dewal 03-7728;1367;710
Кухонная мойка Alveus Classic 70;6188;3341
Фен Gamma Piu Relax;6484;8623
Вытяжка Neff D 76B21 N1;16859;14835
Электрочайник LUMME LU-139;1012;698
Пылесос Bosch BGL 35SPORT;6460;5620
Весы Beurer KS44;1760;1443
Вытяжка Lex GS Gruppo 900;8228;9873
Кулер для воды Ecotronic V42-U4L;52030;58273
Вытяжка Krona Adelia 900;20517;22773
Вытяжка Krona Inga 900 Sensor;18689;22053
Весы Bekker BK-23;633;803
Пылесос Vitek VT-1826;5258;6993
Весы Scarlett SC-KS57P36;669;802
Духовой шкаф Zigmund&Shtain EN 29.921;42216;56991
Фен Sakura SA-4025;467;658
Кофеварка Aresa CM-144;943;518
Миксер Sinbo SHB-3126;1567;1943
Весы Scarlett SC-BS33E060;561;712
Электродуховка Rommelsbacher BG 1650;20449;16563
Стиральная машина Assol XPB45-168;4293;3734
Весы Kromax KS-510;500;705
Тостер Gorenje SM 703;2739;3533
Швейная машина, оверлок Jaguar V-5;5929;7411
Весы Vitek   VT-2406;964;636
Швейная машина, оверлок Minerva M190;14289;9287
Весы US Medica Promo S1;1585;1109
Фен Centek CT-2005;698;991
Швейная машина, оверлок Leader VS 400D;21989;26826
Миксер LUMME LU-1829;1104;1214
Электрочайник Atlanta ATH 2425;1027;513
Посудомоечная машина Bosch SMS 68M52;68266;47786
Варочная поверхность Neff T 46BD53N0;45868;28896
Кухонная мойка Elleci Tekno 475;23591;32791
Кухонная мойка Blanco Sona 6S;20746;27592
Вытяжка Siemens LC 91BA582;58630;29315
Пылесос Hotpoint-Ariston SL B20 AAO;8184;5237
Встраиваемый холодильник Hotpoint-Ariston BD 2422;31181;39288
Духовой шкаф Nardi FEX 47C52;29128;32040
Варочная поверхность Neff T 36FB40X0;35198;25342
Стиральная машина Electrolux EWT 1377;31889;26148
Вытяжка MAUNFELD CORSA LIGHT 50;7005;5884
Пылесос Shop-Vac Pro 60-I;26290;19454
Плита Greta 1470-00-07;9058;5525
Плита Gorenje KN 57325;26074;29463
Мясорубка Vitek VT-3622;5159;6809
Фен Saturn ST HC7337;1518;2049
Плита Flama FG 2402;7546;9055
Вытяжка Falmec Spring 80/600 Isola;194040;97020
Массажер для тела Gess Tap Pro;4574;6861
Электрочайник Kromax KR-342;729;546
Кофемолка Rommelsbacher EKM 200;4961;4167
Духовой шкаф Beltratto FSM 6401;14872;9071
Мультиварка Vitesse VS-524;5511;7605
Весы Beurer GS225;1595;1148
Кулер для воды AEL YLR2-5-X 28L-B/B;20592;11325
Духовой шкаф Hankel OKB 4228;25960;22844
Утюг Bosch TDS 1601;31790;28293
Утюг Energy EN-323;935;1402
Холодильник Atlant XM-4424N;22171;25718
Швейная машина, оверлок Brother Hanami 37S;6711;5704
Водонагреватель Reflex Storatherm Aqua AB/1 [Storatherm Aqua AB 150/1];37543;33037
Духовой шкаф Electrolux EOC 6851;75548;61193
Встраиваемая посудомоечная машина Smeg STA4523;43149;31067
Машинка для стрижки волос Philips QG-3327;3605;2523
Варочная поверхность Foster Vitroline 7351000;14023;10517
Духовой шкаф Korting OKB 9112 CJN;25276;14660
Вытяжка Elikor Gamma 60;8358;10280
Электрочайник Midea MK-8001;2189;2583
Холодильник Smeg FA8003;186524;257403
Вытяжка Darina FLAP 501;2772;2300
Вытяжка AEG X 78263 BV10;35803;25420
Вытяжка De'Longhi Argentella 50;6369;4458
Швейная машина, оверлок Janome MC 500E;82390;106283
Холодильник Candy CCPN 6180;23650;14663
Вытяжка Elikor Gamma 60;8358;4429
Вытяжка Rainford RCH-1502;3488;2267
Пылесос Philips FC 8820;24189;13303
Электрочайник JARKOFF JK-440S;3067;3864
Духовой шкаф Kaiser EH 6920;34155;18785
Варочная поверхность Simfer H 60Q40 O401;11154;7250
Холодильник Tesler RC-55;6428;8742
Весы Irit IR-7259;405;587
Вытяжка Zigmund&Shtain K 129.51;5714;8171
Кофемолка Homestar HS-2001;574;815
Кухонная мойка Smeg LMEPB77;5445;3267
Кухонная мойка Elleci Easy Round 600;16115;9669
Утюг Kelli KL-1633;812;462
Вытяжка Indesit ISLK 56 AS;4057;4543
Электродуховка Delta DL-24;3476;1807
Пылесос Samsung SC-21F60JK;12089;16924
Фритюрница Sinbo SDF-3817;2772;3742
Варочная поверхность Kuppersberg TS 62;11990;7194
Весы Hottek HT-962-010;696;911
Швейная машина, оверлок Juki PE-1500;43890;63640
Фен Vitek VT-8238;2142;1092
Микроволновая печь Panasonic NN-SD36HB;9075;10345
Швейная машина, оверлок Janome 1143;5599;3415
Духовой шкаф Smeg SI850;44878;57443
Духовой шкаф Siemens HB 38G4580;82698;119912
Холодильник LG GA-B499ZVSP;57404;39608
Вытяжка Elica Elite 14 STD A/60;7052;6205
Вытяжка Krona Kamilla Slim 500;4225;5196
Холодильник Samsung RB37J5000SS;39270;49087
Электрочайник Scarlett SC-EK18P15;1045;1452
Швейная машина, оверлок Brother Innov-is 97E;32246;23539
Духовой шкаф Electrolux EOB 98751;92431;122008
Водонагреватель Termet TermaQ [TermaQ G-19-01];12342;16538
Фен Galaxy GL4303;446;508
Вытяжка Lex Inbox 500;5148;3758
Водонагреватель Timberk SWH RE11 SL [SWH RE11 30 SL];5423;7754
Стиральная машина Indesit NWSK 6125;23749;26836
Весы Yunmai Mini Smart Scale;2181;2900
Кулер для воды Ecotronic K1-TN;4510;2660
Варочная поверхность Gorenje GT 7P2;36166;40505
Холодильник Liebherr CNef 3515;37287;30575
Духовой шкаф Weissgauff OE 19;24550;19149
Тостер Waring WW200;42099;54307
Плита Galaxy GL 3053;1265;721
Электродуховка AVEX TR350BCL;5472;6183
Пароочиститель Bradex TD 0064;3297;1681
